nprocs[],time[s]
1, 53.62
2, 28
3, 19.53
4, 15.32
5, 12.78
6, 10.73
7, 9.24
8, 8.22
9, 7.38
10, 6.67
11, 6.5
12, 5.83
13, 5.31
14, 5.18
15, 5.23
16, 4.91
17, 4.99
18, 4.59
19, 4.55
20, 3.83
21, 5.19
22, 4.98
23, 4.62
24, 4.63
25, 3.79
26, 4.13
27, 4.01
28, 4.35
29, 4.25
30, 3.74
31, 3.98
32, 4.09
33, 3.64
34, 3.9
35, 3.93
36, 4.48
37, 3.51
38, 3.5
39, 4.08
40, 2.94
41, 3.83
42, 5.04
43, 3.33
44, 4.35
45, 3.65
46, 4.56
47, 3.19
48, 4.6
49, 3.39
50, 3.08
51, 4.53
52, 3.31
53, 5.31
54, 4.11
55, 2.97
56, 5.23
57, 4.25
58, 3.08
59, 5.58
60, 4.73
61, 3.71
62, 2.95
63, 5.4
64, 4.34
65, 3.56
66, 2.92
67, 5.64
68, 4.93
69, 3.88
70, 3.3
71, 2.89
72, 5.8
73, 5.09
74, 4.44
75, 3.64
76, 2.95
77, 3.08
78, 5.83
79, 4.93
80, 4.43
81, 3.67
82, 3.28
83, 3.02
84, 6.37
85, 5.68
86, 5.16
87, 4.26
88, 3.7
89, 3.1
90, 2.79
91, 2.77
92, 6.8
93, 6.06
94, 5.47
95, 4.87
96, 4.37
97, 3.51
98, 3.09
99, 2.8
100, 2.97
101, 8.04
102, 7.06
103, 6.05
104, 5.69
105, 4.9
106, 4.3
107, 3.72
108, 3.37
109, 3
110, 2.79
111, 2.71
112, 8.19
113, 7.59
114, 7.35
115, 6.64
116, 6.08
117, 5.51
118, 5.16
119, 4.52
120, 4.03
121, 3.64
122, 3.38
123, 2.78
124, 2.78
125, 2.66
126, 8.87
127, 8.19
128, 7.74
